"Fly","Lab","User","Date","Experiment_name","Monitor_type","Monitor_number","Channel","Group","Tube_type","Incubator","Temperature","Treatment","Sex","Other","Alive","mortality_status","final_day_activity","total_experiment_activity","mortality_type","included_in_analysis"
"yjli_20230606_sleep_mutant_comparison_Monitor36_1","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","1_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",4478,15650,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_2","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","2_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",2586,9590,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_3","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","3_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",2712,10492,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_4","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","4_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",5488,17120,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_5","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","5_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",3319,11444,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_6","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","6_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",2052,8295,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_7","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","7_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",3054,10131,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_8","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","8_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",4832,16083,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_9","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","9_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",1756,11775,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_10","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","10_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",5022,18122,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_11","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","11_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",3031,11267,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_12","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","12_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",3050,9489,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_13","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","13_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",3789,13855,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_14","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","14_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",3840,13378,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_15","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","15_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",4332,17482,"alive",TRUE
"yjli_20230606_sleep_mutant_comparison_Monitor36_16","Sehgal","yjli",20230606,"sleep_mutant_comparison","MB","Monitor36","16_Monitor36","Male_CS","MB","Incubator1",25,"Control","Male","Wcs",NA,"alive",1783,5874,"alive",TRUE
