Fly,Lab,User,Date,Experiment_name,Monitor_type,Monitor_number,Channel,Group,Tube_type,Incubator,Temperature,Treatment,Sex,Other,Alive
yjli_20230606_sleep_mutant_comparison_Monitor40_1,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,1,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_2,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,2,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_3,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,3,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_4,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,4,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_5,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,5,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_6,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,6,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_7,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,7,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_8,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,8,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_9,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,9,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_10,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,10,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_11,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,11,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor40_12,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor40,12,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
