"fly","total_activity","total_sleep","percent_sleep"
"Monitor36_Ch2",3991,4320,51.9793045361569
"Monitor36_Ch3",34572,5083,61.1599085549272
"Monitor36_Ch4",24122,5826,70.0998676452894
"Monitor36_Ch5",20461,6172,74.2630249067501
"Monitor36_Ch6",30482,3866,46.5166646612923
"Monitor36_Ch7",25031,4662,56.094332811936
"Monitor36_Ch8",16382,5320,64.0115509565636
"Monitor36_Ch9",19505,4752,57.1772349897726
"Monitor36_Ch10",29295,3529,42.4617976176152
"Monitor36_Ch11",22196,5904,71.0383828660811
"Monitor36_Ch12",40683,4056,48.8027914811695
"Monitor36_Ch13",21365,4611,55.4806882444952
"Monitor36_Ch14",17270,4100,49.3322103236674
"Monitor36_Ch15",31829,4765,57.3336541932379
"Monitor36_Ch16",28483,5780,69.5463843099507
"Monitor36_Ch17",39716,4619,55.5769462158585
"Monitor36_Ch18",13726,3898,46.9016965467453
"Monitor36_Ch19",39827,5010,60.2815545662375
"Monitor36_Ch20",15489,3804,45.770665383227
"Monitor36_Ch21",31101,3979,47.8763085067982
"Monitor36_Ch22",20381,4245,51.0768860546264
"Monitor36_Ch23",13864,6051,72.8071230898809
"Monitor36_Ch24",18706,4342,52.2440139574058
"Monitor36_Ch25",37340,3773,45.3976657441944
"Monitor36_Ch27",22993,4411,53.0742389604139
"Monitor36_Ch28",16639,3995,48.0688244495247
"Monitor36_Ch29",32516,4571,54.999398387679
"Monitor36_Ch30",2339,7868,94.6697148357598
"Monitor36_Ch31",33111,2802,33.7143544699795
"Monitor36_Ch32",36550,5223,62.8444230537841
"Monitor37_Ch2",3991,4320,51.9793045361569
"Monitor37_Ch3",29426,4110,49.4525327878715
"Monitor37_Ch4",6021,6517,78.4141499217904
"Monitor37_Ch5",9969,4848,58.3323306461316
"Monitor37_Ch6",4637,6899,83.0104680543858
"Monitor37_Ch7",17001,2903,34.9296113584406
"Monitor37_Ch8",6242,6159,74.1066057032848
"Monitor37_Ch9",15326,3409,41.0179280471664
"Monitor37_Ch10",15190,4708,56.6478161472747
"Monitor37_Ch11",42666,3996,48.0808566959451
"Monitor37_Ch12",13228,4759,57.2614607147154
"Monitor37_Ch13",40187,3301,39.7184454337625
"Monitor37_Ch14",40632,5619,67.6091926362652
"Monitor37_Ch15",2102,7251,87.2458187943689
"Monitor37_Ch16",43148,5344,64.3003248706533
"Monitor37_Ch17",43750,3484,41.9203465286969
"Monitor37_Ch18",36364,5513,66.3337745157021
"Monitor37_Ch19",9262,5425,65.2749368307063
"Monitor37_Ch20",31320,5794,69.7148357598364
"Monitor37_Ch21",39433,3610,43.4364095776682
"Monitor37_Ch22",35484,2803,33.7263867164
"Monitor37_Ch23",5295,6423,77.2831187582722
"Monitor37_Ch24",31851,5767,69.3899651064854
"Monitor37_Ch25",22232,3951,47.5394056070268
"Monitor37_Ch26",17914,4066,48.9231139453736
"Monitor37_Ch27",37704,3215,38.6836722416075
"Monitor37_Ch28",39735,5213,62.7241005895801
